X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8422481.80379862,5685516.06246331,245,7167,ALTA VISTA / BALFOUR,45.405052,-75.660442, , 
-8422637.65132454,5685156.62743088,246,8220,ALTA VISTA / VALOUR,45.402785,-75.661842, ,Y
-8422606.37051481,5685163.44490747,247,8208,ALTA VISTA / VALOUR,45.402828,-75.661561,Y,Y
-8422635.64768394,5684671.64229866,248,7170,ALTA VISTA / SMYTH,45.399726,-75.661824,Y,Y
-8422689.08104951,5684859.03796746,249,7168,ALTA VISTA / AD. 1800,45.400908,-75.662304,Y,Y
-8422646.44570378,5684591.89738116,250,7169,ALTA VISTA / SMYTH,45.399223,-75.661921,Y, 
-8422660.2493575,5684492.1776003,251,8234,SMYTH / ALTA VISTA,45.398594,-75.662045, ,Y
-8423221.18879991,5684563.52081783,252,2401,SMYTH / RIVERSIDE,45.399044,-75.667084,Y,Y
-8423207.05121885,5684547.66704223,253,7171,SMYTH / RIVERSIDE,45.398944,-75.666957, , 
-8422523.43738211,5685289.80839679,254,8300,HOSPITAL LINK / ALTA VISTA,45.403625,-75.660816, , 
-8422596.12907805,5685307.72480939,255,8301,HOSPITAL LINK / ALTA VISTA,45.403738,-75.661469, , 
-8422994.09623018,5686647.42038222,256,3023,HURDMAN A,45.412187,-75.665044, , 
-8423051.20318016,5686640.60185176,257,3023,HURDMAN B,45.412144,-75.665557, , 
-8423136.14002606,5686635.05199839,258,3023,HURDMAN C,45.412109,-75.66632, , 
-8423199.48086756,5686630.77067908,259,3023,HURDMAN D,45.412082,-75.666889, , 
-8423235.43708996,5686624.42782281,260,3023,HURDMAN E,45.412042,-75.667212, , 
-8422930.19909744,5685766.26598193,261,3030,LYCÉE CLAUDEL 1A (B),45.40663,-75.66447, , 
-8422902.92579554,5685763.72896436,262,3030,LYCÉE CLAUDEL 2A (A),45.406614,-75.664225, , 
-8423195.69654042,5684905.49255201,263,3031,SMYTH 1A (B),45.401201,-75.666855, , 
-8423161.07615311,5684896.77255508,264,3031,SMYTH 2A (A),45.401146,-75.666544, , 
-8422966.93424303,5686667.87641508,265,3023,HURDMAN O-TRAIN WEST / OUEST,45.412316,-75.6648, , 
-8422855.39201564,5686678.18345763,266,3023,HURDMAN O-TRAIN EAST / EST,45.412381,-75.663798, , 
