OSM_TYPE,OSM_ID,NAME,CATEGORY,CUISINE,BRAND,LATITUDE,LONGITUDE
node,5834483728,Dubai Cafe,cafe,,,45.3766471,-75.6668916
node,5739418227,E T Cafe,cafe,,,45.3881374,-75.6751474
node,7821552667,Easy Tea,cafe,bubble_tea,,45.4106888,-75.7071295
way,314798810,Equator Coffee,cafe,coffee_shop,,45.3917047,-75.7537558
way,566452284,Equator Coffee,cafe,coffee_shop,,45.2698204,-75.7396348
node,1561733378,Equator Coffee,cafe,coffee_shop,,45.2351569,-76.1812601
node,2331294972,Equator Coffee,cafe,,,45.311364,-75.914583
node,5827897938,Equator Coffee,cafe,,,45.4233962,-75.694402
node,11143748352,Equator Coffee,cafe,coffee_shop,,45.3226113,-75.9259812
node,6427055894,Eve,cafe,,,45.4765922,-75.6968378
node,6114641725,Ève Café,cafe,,,45.4261132,-75.6906185
node,5888798317,Experience Café,cafe,,,45.2720575,-75.2884678
node,7103367306,Farinella Snack Bar,cafe,,,45.4022044,-75.7107306
node,2476976985,Figaro,cafe,coffee_shop,,45.4257942,-75.6813629
way,629141133,Figaro Coffee House,cafe,,,45.4103774,-75.6403373
node,6754681493,First Cup,cafe,,,45.3480831,-75.7573816
node,4751129811,For God Shakes,cafe,milkshakes,,45.4319044,-75.6939044
node,6651582041,Foundry Collective & Coffee Bar,cafe,coffee_shop,,45.1392939,-76.1454885
way,584505117,Full Cup Cafe,cafe,,,45.3971112,-75.8359909
relation,6961683,GIS cafe,cafe,,,45.3493053,-75.7543711
node,5158087366,Gladstone Lounge,cafe,shisha,,45.4070532,-75.7052924
way,481693120,Gong Cha,cafe,bubble_tea,Gong Cha,45.3505304,-75.7618657
node,2104707516,Gong Cha,cafe,bubble_tea,Gong Cha,45.4013093,-75.6875663
